X,CH1,
Second,Volt,
-1.6255999e-01,7.20000e-03,
-1.6253999e-01,8.00000e-03,
-1.6251999e-01,8.80000e-03,
-1.6249999e-01,8.80000e-03,
-1.6248000e-01,8.80000e-03,
-1.6245998e-01,8.00000e-03,
-1.6243999e-01,8.80000e-03,
-1.6241999e-01,8.80000e-03,
-1.6239999e-01,8.00000e-03,
-1.6237999e-01,8.00000e-03,
-1.6236000e-01,8.80000e-03,
-1.6233999e-01,8.80000e-03,
-1.6231999e-01,8.80000e-03,
-1.6229999e-01,9.60000e-03,
-1.6227999e-01,8.80000e-03,
-1.6226000e-01,8.80000e-03,
-1.6223998e-01,8.80000e-03,
-1.6221999e-01,8.80000e-03,
-1.6219999e-01,8.00000e-03,
-1.6217999e-01,8.80000e-03,
-1.6215999e-01,8.00000e-03,
-1.6214000e-01,8.00000e-03,
-1.6211998e-01,7.20000e-03,
-1.6209999e-01,7.20000e-03,
-1.6207999e-01,7.20000e-03,
-1.6205999e-01,8.00000e-03,
-1.6204000e-01,8.00000e-03,
-1.6202000e-01,8.80000e-03,
-1.6199999e-01,8.80000e-03,
-1.6197999e-01,8.80000e-03,
-1.6195999e-01,9.60000e-03,
-1.6193999e-01,8.80000e-03,
-1.6192000e-01,9.60000e-03,
-1.6189998e-01,8.80000e-03,
-1.6187999e-01,8.80000e-03,
-1.6185999e-01,8.80000e-03,
-1.6183999e-01,8.00000e-03,
-1.6181999e-01,8.00000e-03,
-1.6180000e-01,8.00000e-03,
-1.6177998e-01,8.00000e-03,
-1.6175999e-01,8.00000e-03,
-1.6173999e-01,7.20000e-03,
-1.6171999e-01,8.00000e-03,
-1.6170000e-01,8.00000e-03,
-1.6168000e-01,8.00000e-03,
-1.6165999e-01,8.00000e-03,
-1.6163999e-01,8.80000e-03,
-1.6161999e-01,8.80000e-03,
-1.6159999e-01,8.00000e-03,
-1.6158000e-01,8.80000e-03,
-1.6155998e-01,8.00000e-03,
-1.6153999e-01,8.00000e-03,
-1.6151999e-01,8.80000e-03,
-1.6149999e-01,8.80000e-03,
-1.6147999e-01,8.00000e-03,
-1.6146000e-01,8.80000e-03,
-1.6143999e-01,8.80000e-03,
-1.6141999e-01,8.80000e-03,
-1.6139999e-01,8.00000e-03,
-1.6137999e-01,8.80000e-03,
-1.6136000e-01,8.80000e-03,
-1.6133998e-01,8.80000e-03,
